"Country","Genre","Purchases","Sales"
"Chile","Blues",2,1.98
"Chile","Alternative & Punk",2,1.98
"Chile","Soundtrack",1,0.99
"Chile","Sci Fi & Fantasy",1,1.99
"Chile","Classical",1,0.99
"Czech Republic","Rock",25,24.75
"Czech Republic","Latin",9,8.91
"Czech Republic","Alternative & Punk",9,8.91
"Czech Republic","TV Shows",8,15.92
"Czech Republic","Metal",6,5.94
"Czech Republic","Drama",6,11.94
"Czech Republic","Pop",4,3.96
"Czech Republic","Jazz",3,2.97
"Czech Republic","R&B/Soul",2,1.98
"Czech Republic","Electronica/Dance",2,1.98
"Czech Republic","Science Fiction",1,1.99
"Czech Republic","Blues",1,0.99
"Denmark","Rock",21,20.79
"Denmark","Metal",6,5.94
"Denmark","Latin",4,3.96
"Denmark","Alternative & Punk",4,3.96
"Denmark","Pop",3,2.97
"Finland","Rock",18,17.82
"Finland","Latin",9,8.91
"Finland","Sci Fi & Fantasy",4,7.96
"Finland","Metal",2,1.98
"Finland","Jazz",2,1.98
"Finland","Alternative & Punk",2,1.98
"Finland","Reggae",1,0.99
"France","Rock",65,64.35
"France","Alternative & Punk",31,30.69
"France","Latin",26,25.74
"France","Metal",20,19.8
"France","Jazz",11,10.89
"France","Classical",10,9.9
"France","Soundtrack",5,4.95
"France","Drama",4,7.96
"France","Alternative",4,3.96
"France","Sci Fi & Fantasy",2,3.98
"France","Pop",2,1.98
"France","Hip Hop/Rap",2,1.98
"France","Electronica/Dance",2,1.98
"France","Blues",2,1.98
"France","TV Shows",1,1.99
"France","Rock And Roll",1,0.99
"France","Reggae",1,0.99
"France","Bossa Nova",1,0.99
"Germany","Rock",62,61.38
"Germany","Metal",25,24.75
"Germany","Latin",18,17.82
"Germany","Blues",14,13.86
"Germany","Alternative & Punk",13,12.87
"Germany","Soundtrack",5,4.95
"Germany","TV Shows",3,5.97
"Germany","Heavy Metal",3,2.97
"Germany","Science Fiction",2,3.98
"Germany","Jazz",2,1.98
"Germany","Easy Listening",2,1.98
"Germany","Pop",1,0.99
"Germany","Drama",1,1.99
"Germany","Alternative",1,0.99
"Hungary","Rock",11,10.89
"Hungary","R&B/Soul",5,4.95
"Hungary","Metal",5,4.95
"Hungary","TV Shows",4,7.96
"Hungary","Latin",3,2.97
"Hungary","Alternative & Punk",3,2.97
"Hungary","Drama",2,3.98
"Hungary","Blues",2,1.98
"Hungary","Sci Fi & Fantasy",1,1.99
"Hungary","Electronica/Dance",1,0.99
"Hungary","Comedy",1,1.99
"India","Rock",25,24.75
"India","Alternative & Punk",11,10.89
"India","Jazz",10,9.9
"India","Latin",9,8.91
"India","Metal",8,7.92
"India","R&B/Soul",4,3.96
"India","Blues",3,2.97
"India","Classical",2,1.98
"India","TV Shows",1,1.99
"India","Sci Fi & Fantasy",1,1.99
"Ireland","Rock",12,11.88
"Ireland","TV Shows",7,13.93
"Ireland","Latin",7,6.93
"Ireland","Alternative & Punk",4,3.96
"Ireland","Metal",3,2.97
"Ireland","Jazz",3,2.97
"Ireland","Drama",1,1.99
"Ireland","Blues",1,0.99
"Italy","Rock",18,17.82
"Italy","Alternative & Punk",11,10.89
"Italy","Blues",4,3.96
"Italy","Latin",2,1.98
"Italy","Classical",2,1.98
"Italy","Metal",1,0.99
"Netherlands","Rock",18,17.82
"Netherlands","Alternative & Punk",5,4.95
"Netherlands","Blues",4,3.96
"Netherlands","Sci Fi & Fantasy",3,5.97
"Netherlands","Pop",3,2.97
"Netherlands","Latin",3,2.97
"Netherlands","Metal",2,1.98
"Norway","Rock",17,16.83
"Norway","Latin",5,4.95
"Norway","Classical",5,4.95
"Norway","Alternative",4,3.96
"Norway","Electronica/Dance",2,1.98
"Norway","Drama",2,3.98
"Norway","Alternative & Punk",2,1.98
"Norway","World",1,0.99
"Poland","Rock",22,21.78
"Poland","Latin",7,6.93
"Poland","Alternative & Punk",7,6.93
"Poland","Jazz",1,0.99
"Poland","Blues",1,0.99
"Portugal","Rock",31,30.69
"Portugal","Latin",13,12.87
"Portugal","Metal",11,10.89
"Portugal","Alternative & Punk",5,4.95
"Portugal","Pop",4,3.96
"Portugal","World",2,1.98
"Portugal","R&B/Soul",2,1.98
"Portugal","Jazz",2,1.98
"Portugal","Heavy Metal",2,1.98
"Portugal","TV Shows",1,1.99
"Portugal","Sci Fi & Fantasy",1,1.99
"Portugal","Electronica/Dance",1,0.99
"Portugal","Blues",1,0.99
"Spain","Rock",22,21.78
"Spain","Latin",4,3.96
"Spain","Alternative & Punk",4,3.96
"Spain","Metal",3,2.97
"Spain","Reggae",2,1.98
"Spain","Jazz",2,1.98
"Spain","Hip Hop/Rap",1,0.99
"Sweden","Latin",12,11.88
"Sweden","Rock",10,9.9
"Sweden","Metal",7,6.93
"Sweden","Alternative & Punk",6,5.94
"Sweden","World",1,0.99
"Sweden","TV Shows",1,1.99
"Sweden","Jazz",1,0.99
"USA","Rock",157,155.43
"USA","Latin",91,90.09
"USA","Metal",64,63.36
"USA","Alternative & Punk",50,49.5
"USA","Jazz",22,21.78
"USA","Blues",15,14.85
"USA","TV Shows",14,27.86
"USA","R&B/Soul",12,11.88
"USA","Comedy",8,15.92
"USA","Classical",8,7.92
"USA","Bossa Nova",7,6.93
"USA","Reggae",6,5.94
"USA","Drama",6,11.94
"USA","Sci Fi & Fantasy",5,9.95
"USA","Pop",5,4.95
"USA","Alternative",5,4.95
"USA","Soundtrack",4,3.96
"USA","Hip Hop/Rap",4,3.96
"USA","Heavy Metal",4,3.96
"USA","Rock And Roll",3,2.97
"USA","Easy Listening",3,2.97
"USA","Science Fiction",1,1.99
"United Kingdom","Rock",37,36.63
"United Kingdom","Latin",31,30.69
"United Kingdom","Metal",20,19.8
"United Kingdom","Alternative & Punk",9,8.91
"United Kingdom","Reggae",5,4.95
"United Kingdom","Jazz",4,3.96
"United Kingdom","Hip Hop/Rap",3,2.97
"United Kingdom","R&B/Soul",2,1.98
"United Kingdom","Pop",2,1.98
"United Kingdom","World",1,0.99
